Build Order,Tool Name,Suggested Slug,Phase,Category,Primary Region,Primary Keyword,Traffic Potential,Ranking Difficulty,Required Inputs,Required Outputs,Core Calculation Logic,Maintenance,No Production API,Official / Reference Source,Internal-Link Cluster,Claude Implementation Notes,Build Status
85,Qatar Gratuity Calculator,/qatar-gratuity-calculator/,Phase 3,Regional Employment,Qatar,qatar gratuity calculator,Medium,Medium,"Basic salary, dates, unpaid leave, eligibility",Gratuity and service breakdown,Apply Qatar statutory minimum per service year,Monitor Qatar labour law,Yes,https://mukafi.com/,Gulf Tools,,Not Started
86,Oman Gratuity Calculator,/oman-gratuity-calculator/,Phase 3,Regional Employment,Oman,oman gratuity calculator,Medium,Medium,"Basic salary, dates and transition date",Pre/post-law gratuity breakdown,Apply transition logic for service before/after the current law,Monitor Oman labour law,Yes,https://mukafi.com/,Gulf Tools,,Not Started
87,Bahrain End-of-Service Calculator,/bahrain-end-of-service-calculator/,Phase 3,Regional Employment,Bahrain,bahrain end-of-service calculator,Medium,Medium,"Wage basis, dates, employee coverage",Indemnity or contribution-based estimate,Apply current Bahrain system and transition rules,Monitor Bahrain labour/SIO rules,Yes,https://mukafi.com/,Gulf Tools,,Not Started
88,UAE VAT Calculator,/uae-vat-calculator/,Phase 3,Regional Business Tax,UAE,uae vat calculator,High,High,"Net/gross amount, standard/zero/exempt selection","VAT, net and gross",Apply current UAE VAT treatment for supported mode,Monitor UAE VAT rules,Yes,https://dda.gov.ae/en/gratuity-calculator/gratuity-calculator,Gulf Tools,,Not Started
89,Saudi VAT Calculator,/saudi-vat-calculator/,Phase 3,Regional Business Tax,Saudi Arabia,saudi vat calculator,High,High,"Net/gross amount, rate treatment","VAT, net and gross",Apply current Saudi VAT rate and reverse calculation,Monitor Saudi VAT rules,Yes,https://www.hrsd.gov.sa/en/ministry-services/services/end-service-benefit-calculator,Gulf Tools,,Not Started
90,India Income Tax Old vs New Regime Calculator,/india-income-tax-old-vs-new-regime-calculator/,Phase 3,Regional Pay & Tax,India,india income tax old vs new regime calculator,Very High,Very High,"Income heads, age, deductions, regime, cess/surcharge",Tax under both regimes and difference,Versioned Indian old/new regime calculations,Update annually,Yes,https://www.incometax.gov.in/iec/foportal/income-tax-calculator,India Tools,,Not Started
91,India SIP Calculator,/india-sip-calculator/,Phase 3,Regional Investing,India,india sip calculator,Very High,Very High,"Monthly investment, expected return, duration, step-up","Invested amount, estimated value and gain",Future value of periodic investments with optional annual step-up,Evergreen assumptions; user enters return,Yes,https://investor.sebi.gov.in/calculators/index.html,India Tools,,Not Started
92,India HRA Exemption Calculator,/india-hra-exemption-calculator/,Phase 3,Regional Pay & Tax,India,india hra exemption calculator,High,High,"Basic/DA, HRA received, rent, metro status",HRA exemption and taxable HRA,Minimum of statutory HRA exemption tests,Update when tax rules change,Yes,https://www.incometax.gov.in/iec/foportal/income-tax-calculator,India Tools,,Not Started
93,India EPF Calculator,/india-epf-calculator/,Phase 3,Regional Retirement,India,india epf calculator,High,High,"Basic wage, employee/employer rates, interest, years",Employee/employer contribution and estimated corpus,Versioned contribution split plus annual compounding,Review EPF rates/limits,Yes,https://labour.gov.in/en/faqs-labour-codes,India Tools,,Not Started
94,Pakistan Provident Fund Calculator,/pakistan-provident-fund-calculator/,Phase 3,Regional Retirement,Pakistan,pakistan provident fund calculator,Medium,Medium,"Salary, employee/employer rates, return, service period","Contributions, growth and projected fund",Periodic contributions with compound growth,Review employer/government scheme rules,Yes,https://www.fbr.gov.pk/,Pakistan Tools,,Not Started
95,Pakistan Salary Increment Calculator,/pakistan-salary-increment-calculator/,Phase 3,Regional Pay & Tax,Pakistan,pakistan salary increment calculator,Medium,Low,"Current basic pay, increment percent/amount, allowances","Revised basic, gross and annual increase",Add fixed/percentage increment and allowances,Evergreen unless tied to a government scale,Yes,https://www.fbr.gov.pk/,Pakistan Tools,,Not Started
96,Pakistan Sales Tax Calculator,/pakistan-sales-tax-calculator/,Phase 3,Regional Business Tax,Pakistan,pakistan sales tax calculator,High,High,"Net/gross amount, user-selected current rate, inclusive/exclusive","Sales tax, net and gross",Apply user-selected rate; reverse inclusive amount,Monitor FBR tax rates,Yes,https://www.fbr.gov.pk/,Pakistan Tools,,Not Started
97,Net Present Value Calculator,/net-present-value-calculator/,Phase 3,Business & Finance,Global,net present value calculator,High,High,"Initial investment, cash flows, discount rate",NPV and discounted cash-flow table,NPV=SUM(CFt/(1+r)^t)−initial investment,Evergreen,Yes,https://www.calculatorsoup.com/,Business Finance,,Not Started
98,Internal Rate of Return Calculator,/internal-rate-of-return-calculator/,Phase 3,Business & Finance,Global,internal rate of return calculator,High,Very High,Dated or periodic cash flows,IRR and NPV check,Numerically solve discount rate where NPV=0,Evergreen,Yes,https://www.calculatorsoup.com/,Business Finance,,Not Started
99,Depreciation Calculator,/depreciation-calculator/,Phase 3,Business & Finance,Global,depreciation calculator,High,High,"Asset cost, salvage, life, method, date",Annual depreciation and book-value schedule,"Straight-line, declining-balance and sum-of-years methods",Evergreen; tax methods need local disclaimer,Yes,https://www.calculatorsoup.com/,Business Finance,,Not Started
100,Mortgage Affordability Calculator,/mortgage-affordability-calculator/,Phase 3,Personal Finance,Global,mortgage affordability calculator,Very High,Very High,"Income, debts, down payment, rate, term, housing costs","Affordable payment, loan and home-price estimate",User-selected housing/DTI limits plus mortgage-payment formula,Evergreen assumptions; not lender approval,Yes,https://www.calculator.net/,Debt & Savings,,Not Started
